term,theme,project,is_active,
“Ministerio do Meio Ambiente”,acoes_institucionais,mma,true,
@mmeioambiente,acoes_institucionais,mma,true,
@ministeriomeioambiente,acoes_institucionais,mma,true,
IBAMA,acoes_institucionais,mma,true,
@ibamagov,acoes_institucionais,mma,true,
FUNAI,acoes_institucionais,mma,true,
@funaioficial,acoes_institucionais,mma,true,
“Marina Silva”,acoes_institucionais,mma,true,
icmbio,acoes_institucionais,mma,true,
Conama,acoes_institucionais,mma,true,
Consema,acoes_institucionais,mma,true,
“Comissao do Meio Ambiente”,acoes_institucionais,mma,true,
“Organizacao Mundial Meteorológica”,acoes_institucionais,mma,true,
cmbio,acoes_institucionais,mma,true,
“Ana Toni”,acoes_institucionais,mma,true,
Fundo+Amazonia,acoes_institucionais,mma,true,
to:mmeioambiente,acoes_institucionais,mma,true,
to:ministeriomeioambiente,acoes_institucionais,mma,true,
to:ibamagov,acoes_institucionais,mma,true,
to:funaioficial,acoes_institucionais,mma,true,
to:marinasilvaoficial,acoes_institucionais,mma,true,
Amazonia,amazonia,mma,true,
amazonica,amazonia,mma,true,
amazonico,amazonia,mma,true,
“Rio Amazonas”,amazonia,mma,true,
“margem equatorial”,amazonia,mma,true,
Foz+Amazonas,amazonia,mma,true,
climatico,clima,mma,true,
climatica,clima,mma,true,
climaticos,clima,mma,true,
climaticas,clima,mma,true,
climatológico,clima,mma,true,
climatológica,clima,mma,true,
climatólogo,clima,mma,true,
"""mudanca do clima""",clima,mma,true,
"""mudancas do clima""",clima,mma,true,
#mudancadoclima,clima,mma,true,
#mudancasdoclima,clima,mma,true,
#mudancaclimatica,clima,mma,true,
#mudancasclimaticas,clima,mma,true,
#desastreclimatico,clima,mma,true,
#criseclimatica,clima,mma,true,
lima,mma,true,
"""aquecimento global""",clima,mma,true,
#aquecimentoglobal,clima,mma,true,
clima+colapso,clima,mma,true,
clima+marcha,clima,mma,true,
clima+protesto,clima,mma,true,
clima+manifestacao,clima,mma,true,
clima+mudanca,clima,mma,true,
"""ebulicao global""",clima,mma,true,
ebulicaoglobal,clima,mma,true,
"""efeito estufa""",clima,mma,true,
#efeitoestufa,clima,mma,true,
gases+estufa,clima,mma,true,
derretimento+calota,clima,mma,true,
derretimento+polar,clima,mma,true,
derretimento+polares,clima,mma,true,
derretimento+geleira,clima,mma,true,
#climatechange,clima,mma,true,
"""variacoes climaticas""",clima,mma,true,
variacaoclimatica,clima,mma,true,
variacoesclimaticas,clima,mma,true,
"""alteracoes climaticas""",clima,mma,true,
alteracoesclimaticas,clima,mma,true,
alteracaoclimatica,clima,mma,true,
COP+belem,cop,mma,true,
cop+clima,cop,mma,true,
cupula+clima,cop,mma,true,
"""Conferencia do clima""",cop,mma,true,
conferencia+partes+convencao,cop,mma,true,
“COP 30”,cop,mma,true,
“COP 28”,cop,mma,true,
“COP 29”,cop,mma,true,
COP28,cop,mma,true,
COP29,cop,mma,true,
COP30,cop,mma,true,
#COP28,cop,mma,true,
#COP29,cop,mma,true,
#COP30,cop,mma,true,
“transicao energetica”,desenvolvimento_sustentavel,mma,true,
transicaoenergetica,desenvolvimento_sustentavel,mma,true,
energia+limpa,desenvolvimento_sustentavel,mma,true,
energia+sustentavel,desenvolvimento_sustentavel,mma,true,
“desenvolvimento rural”,desenvolvimento_sustentavel,mma,true,
“desenvolvimento sustentável”,desenvolvimento_sustentavel,mma,true,
#desenvolvimentosustentavel,desenvolvimento_sustentavel,mma,true,
bioeconomia,desenvolvimento_sustentavel,mma,true,
biocombustiveis,desenvolvimento_sustentavel,mma,true,
“credito de carbono”,desenvolvimento_sustentavel,mma,true,
descarbonizacao,desenvolvimento_sustentavel,mma,true,
“economia verde”,desenvolvimento_sustentavel,mma,true,
economiaverde,desenvolvimento_sustentavel,mma,true,
ecologico,ecologia,mma,true,
ecologica,ecologia,mma,true,
ecologicas,ecologia,mma,true,
ecologicos,ecologia,mma,true,
ambientalista,ecologia,mma,true,
ambientalistas,ecologia,mma,true,
"""eventos climáticos""",emergencia_climatica,mma,true,
eventosclimaticos,emergencia_climatica,mma,true,
"""crise climática""",emergencia_climatica,mma,true,
criseclimatica,emergencia_climatica,mma,true,
"""emergência climática""",emergencia_climatica,mma,true,
"""emergências climáticas""",emergencia_climatica,mma,true,
emergenciaclimatica,emergencia_climatica,mma,true,
emergenciasclimaticas,emergencia_climatica,mma,true,
rajada+vento,emergencia_climatica,mma,true,
chuva+alerta,emergencia_climatica,mma,true,
chuva+volume,emergencia_climatica,mma,true,
chuva+milimetros,emergencia_climatica,mma,true,
chuva+falta,emergencia_climatica,mma,true,
chuva+excesso,emergencia_climatica,mma,true,
chuva+risco,emergencia_climatica,mma,true,
chuva+forte,emergencia_climatica,mma,true,
granizo,emergencia_climatica,mma,true,
inmet,emergencia_climatica,mma,true,
inundacao,emergencia_climatica,mma,true,
inundacoes,emergencia_climatica,mma,true,
enchente,emergencia_climatica,mma,true,
enchentes,emergencia_climatica,mma,true,
alagamento,emergencia_climatica,mma,true,
#alagamento,emergencia_climatica,mma,true,
deslizamentos,emergencia_climatica,mma,true,
alagada,emergencia_climatica,mma,true,
alagadas,emergencia_climatica,mma,true,
#chuva,emergencia_climatica,mma,true,
#chuvars,emergencia_climatica,mma,true,
#chuvarj,emergencia_climatica,mma,true,
#chuvasp,emergencia_climatica,mma,true,
#chuvanoes,emergencia_climatica,mma,true,
#chuvasc,emergencia_climatica,mma,true,
temporal,emergencia_climatica,mma,true,
climatempo,emergencia_climatica,mma,true,
"""frente fria""",emergencia_climatica,mma,true,
"alerta+”Defesa Civil""",emergencia_climatica,mma,true,
"""onda de calor""",emergencia_climatica,mma,true,
#ondadecalor,emergencia_climatica,mma,true,
"""ondas de calor""",emergencia_climatica,mma,true,
