"SourcePostId","Type","Name","Username","Tweet ID (click to view url)","Retweets","Comments","Favorites","Is Retweet?","Date","Tweet Text","Author Followers","Author Friends","Author Favorites","Author Statuses","Author Bio","Author Image","Author Location","Author Verified","Tweet Source","Status URL"
,Post,Site MH News,tina_pimenteld,1864284523443228677,,,,no,2024-12-04 06:24:01,MH NEWS: Operações de combate a crimes ambientais reduzem d... https://t.co/GSlKBrjbqc #mhspnews#redução #desmatamento #Pará,54,342,,7183,Site de notícias,https://pbs.twimg.com/profile_images/1487984438793457665/7bpqxtcY_normal.jpg,Parauapebas Pará,no,Twitter Web App,https://www.twitter.com/tina_pimenteld/status/1864284523443228677
,Post,yanpe,yanpelol,1864062332336267320,,1,1,no,2024-12-03 15:41:07,@5Alvez98792 @BitPieceRed @Heyhelmetx Grande parte dos assentamentos do MST adota práticas de agroecologia contribuindo para a preservação de recursos naturais e a diminuição do desmatamento.O movimento lidera projetos de reflorestamento em áreas degradadas ajudando na recuperação ambiental.,28,173,1,1768,🇩🇪🇪🇸🇫🇷🇬🇧.,https://pbs.twimg.com/profile_images/1862886317182345216/Xi4t5mXD_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/yanpelol/status/1864062332336267320
,Post,socioambiental,socioambiental,1864052149568553368,1,1,2,no,2024-12-03 15:00:39,A Ferrogrão impacta 49 milhões de hectares de áreas protegidas – Terras Indígenas e Unidades de Conservação – e pode causar desmatamento de mais de 2 mil km² de florestas além de impactar diretamente a vida dos povos e comunidades tradicionais.,86907,1358,2,31242,Somos uma organização que atua na defesa dos direitos dos #PovosDaFloresta e na proteção do meio ambiente. Junte-se a nós no link do perfl! 👇🏾,https://pbs.twimg.com/profile_images/1546986752451248131/47bdntBB_normal.jpg,,no,Agorapulse app,https://www.twitter.com/socioambiental/status/1864052149568553368
,Post,josi,josiroberta24,1864037730688114737,,,1,no,2024-12-03 14:03:21,@helderbarbalho A realidade da cidade sede da cop 30 Belém do Pará. Desmatamento sem nenhum tipo de estudos aprofundados tudo feito a três porradas na rua da Marinha#LulaPresidente #COP30 #Belém #bolsonaro#redeglobo https://t.co/sQew0Btwvz,24,21,1,455,Apenas uma simples camponesa,https://pbs.twimg.com/profile_images/1856388863888904192/FBfPol8B_normal.jpg,,no,Twitter for Android,https://www.twitter.com/josiroberta24/status/1864037730688114737
,Post,Erick Ribeiro,ErickRi92480296,1864033785878126613,1,1,9,no,2024-12-03 13:47:41,@pedrorousseff Claro estão comprando urânio do Brasil .A China vai desmatar toda a Amazônia para obter urânio para fazer bomba atômica,469,662,9,2289,Ter Deus nos torna sempre vencedores 🇮🇱🇧🇷🇧🇷 Evangélico corintiano e apoiador da direita,https://pbs.twimg.com/profile_images/1849624531150786560/4ZkIsXrv_normal.jpg,São Paulo Brasil,no,Twitter for iPhone,https://www.twitter.com/ErickRi92480296/status/1864033785878126613
,Post,Proteção Animal Mundial,ProtecaoAnimal,1864025571375886524,2,,5,no,2024-12-03 13:15:02,🧡 HOJE É #DIADEDOAR 🧡🔥 Seu apoio já ajudou o Xamã vítima das queimadas a voltar para a natureza. Mas ainda há muitos animais que precisam de cuidados urgentes.🐆 Doe agora: https://t.co/PFbwHIhmj1Imagine quantas vidas podemos salvar juntos? 🥰#Queimadas #Desmatamento https://t.co/4wxSQMzM3E,18048,296,5,5460,Juntos movemos o mundo para proteger os animais.,https://pbs.twimg.com/profile_images/1676956936145866756/Av0x-w_j_normal.jpg,São Paulo Brasil,no,Emplifi,https://www.twitter.com/ProtecaoAnimal/status/1864025571375886524
,Post,PesquisaFapesp,PesquisaFapesp,1864022354864578574,,,6,no,2024-12-03 13:02:15,Produção de gases de efeito estufa cresce 13% no mundo mas cai 12% no BrasilConsumo global de combustíveis fósseis continua aumentando; queda no desmatamento da Amazônia diminui emissões nacionaishttps://t.co/qhiPMgWt6C,98367,572,6,27374,Revista de jornalismo científico publicada pela Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP)  disponível em https://t.co/sRpU0mkRkQ,https://pbs.twimg.com/profile_images/1844099413502840832/WH2VfwDx_normal.jpg,São Paulo,no,Twitter Web App,https://www.twitter.com/PesquisaFapesp/status/1864022354864578574
,Post,Zelia Leonardo,LeonardoZelia,1864003940766904344,,,1,no,2024-12-03 11:49:05,Bolsonaro trabalha e corta gastos enquanto Lula é totalmente ineficaz e explode os gastos. Lula bateu todos os recordes de queimadas e desmatamento gastando os tubos com reuniões viagens e apaniguados.,3556,5156,1,103312,vó do ZAP e robô de Bolsonaro,https://pbs.twimg.com/profile_images/1363141791227252738/Gabsx4jb_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/LeonardoZelia/status/1864003940766904344
,Post,Luan Sullr,luanmarllus,1864003035573211471,,4,1,no,2024-12-03 11:45:29,@LeviLugato @Samuelsworld 1 - o dolar nesse valor não é nada além de  especulação do mercado revoltado por não ter seus agrados; 2 - houve uma redução no desmatamento em relação a 2021 seja honesto; 3- aumento de mei n significa prosperidade do país;,159,223,1,7285,,https://pbs.twimg.com/profile_images/1564978920713248770/-lq4Heap_normal.jpg,,no,Twitter Web App,https://www.twitter.com/luanmarllus/status/1864003035573211471
,Post,Nauta ⛵,nautaviajante,1863998438880194951,,,1,no,2024-12-03 11:27:13,@lucasnatpho enquanto houver incentivo econômico pro desmatamento ele não vai acabar. A ideia do parlamento europeu de proibir a compra de carne proveniente de áreas desmatadas pós 2020 é boa mas precisa de muitas melhorias,53,153,1,1474,defendendo ideias baseadas em evidências sempre que dá. Satanista pra cristão cristão pra satanista Desenvolvedor frontEnd Exatas & Humanas,https://pbs.twimg.com/profile_images/1864124555679137792/RcErs09v_normal.jpg,,no,Twitter Web App,https://www.twitter.com/nautaviajante/status/1863998438880194951
